#-------------------------------------------
# Food Diary Report - Detailed Report,"domingo, agosto 1, 2021","martes, agosto 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,968,"58,47","72,46","38,57"
Desayuno,192,"11,94","19,6","3,66"
Almuerzo,238,"4,88","37,66","9,66"
Cena,538,"41,66","15,2","25,26"
Pasa Bocas / Otros,,,,

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)

"lunes, agosto 30, 2021",694,"57,12","25,841","31,64","6,36","21,81","18,45","817,36",0,528
 Desayuno,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)
 Almuerzo,,,,,,,,,,
 Cena,622,"56,89","25,802","12,58","3,06","7,47","18,09","816,36",0,380
  Galbani Burrata,384,36,"22,5",3,,3,12,810,,
   150 g
  Italiamo Pesto Verde,81,"7,5",2,"1,7",,"0,4","1,6","0,34",,
   20 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Tomates,22,"0,25","0,057","4,82","1,5","3,23","1,08",6,0,292
"   1 la mitad de (6,5 cm de diámetro)"
  Verdifresh Canónigos,4,"0,1","0,02","0,32","0,26","0,32","0,36","0,02",,
   20 g
 Pasa Bocas / Otros,,,,,,,,,,

"martes, agosto 31, 2021",1242,"59,82","22,512","113,28","9,5","32,54","58,69","839,9",847,340
 Desayuno,312,"23,64","8,625","20,14","1,3","17,32","6,95",52,0,88
  Hacendado Yogur Griego Limón Jengibre ,181,"10,6","7,4","17,4",,"16,8","3,9",52,,
"   1 unidad, 125 g"
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
 Almuerzo,477,"9,76","2,427","75,31","3,9","9,61","19,31",469,211,63
  Huevo Cocido,77,"5,28","1,627","0,56",0,"0,56","6,26",139,211,63
   1 grande
  Gallo Espaguetis,344,2,"0,5",68,3,"3,5",12,,,
   100 g
  Solís Tomate Frito,56,"2,48","0,3","6,75","0,9","5,55","1,05",330,,
   75 g
 Cena,453,"26,42","11,46","17,83","4,3","5,61","32,43","318,9",636,189
  Eroski Tostadas de Centeno y Sésamo,76,"1,52","0,22","11,6",3,"0,54","2,6",88,,
   20 g
  Angulo Queso Fresco de Burgos Ligero,131,"8,82","6,3","3,15",,"2,97","9,9","0,9",,
   90 g
  Bonduelle Guisantes Tiernos y Muy Finos,14,"0,16","0,04","1,4","1,3","0,42","1,06",44,,
   20 g
  Huevo Duro,232,"15,92","4,9","1,68",0,"1,68","18,87",186,636,189
   3 grandes
 Pasa Bocas / Otros,,,,,,,,,,

Total,1936,"116,94","48,353","144,92","15,86","54,35","77,14","1657,26",847,868
