#-------------------------------------------
# Food Diary Report - Detailed Report,"lunes, marzo 1, 2021","miércoles, marzo 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1173,"38,51","136,42","67,27"
Desayuno,257,"10,21","29,38","11,57"
Almuerzo,287,"6,57","29,4","23,83"
Cena,401,"14,19","44,8","22,32"
Pasa Bocas / Otros,228,"7,54","32,83","9,55"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)

"lunes, marzo 1, 2021",1370,"51,74","13,27","151,87","35,6","17,25","58,58","1193,9",399,900
 Desayuno,252,"13,86","3,93","18,52","1,6","4,3","13,26",256,358,430
  Tortilla de Patatas,252,"13,86","3,93","18,52","1,6","4,3","13,26",256,358,430
   200 g
 Almuerzo,432,"6,66","1,63","52,27","26,4","3,79","28,54",476,11,384
  Chorizo de Cerdo,44,"3,69","1,187",0,0,0,"2,53",97,11,38
"   1 tira (10 cm x 2 cm de diámetro de largo), cocido"
  Luengo Lenteja Pardina,306,"1,9","0,3",36,25,"1,2",24,0,,
   100 g
  DIA Tomate Frito,22,"0,99","0,12","2,61",0,"1,83","0,39",249,,
   30 g
  Papa Cocida,60,"0,08","0,023","13,66","1,4","0,76","1,62",130,0,346
   75 g
 Cena,206,"9,62","5,51","20,38",1,"1,86","9,28",461,30,86
  Queso Brie,100,"8,3","5,223","0,14",0,"0,14","6,22",189,30,46
   30 g
  Pan Blanco,106,"1,32","0,287","20,24",1,"1,72","3,06",272,0,40
   40 g
 Pasa Bocas / Otros,480,"21,6","2,2","60,7","6,6","7,3","7,5","0,9",,
  Sunbites Snack Multicereales,480,"21,6","2,2","60,7","6,6","7,3","7,5","0,9",,
   100 g

"martes, marzo 2, 2021",1326,"45,98","20,955","122,6","37,06","14,14","88,12","2708,45",132,480
 Desayuno,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
  Sandwich Mixto,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
   1 sánduche
 Almuerzo,445,"10,8","2,203","46,85","25,9","2,93","27,87",349,11,269
  Chorizo de Cerdo,44,"3,69","1,187",0,0,0,"2,53",97,11,38
"   1 tira (10 cm x 2 cm de diámetro de largo), cocido"
  Aceite de Oliva,40,"4,5","0,621",0,0,0,0,0,0,0
   1 cucharadita
  Luengo Lenteja Pardina,306,"1,9","0,3",36,25,"1,2",24,0,,
   100 g
  DIA Tomate Frito,15,"0,66","0,08","1,74",0,"1,22","0,26",166,,
   20 g
  Papa Cocida,40,"0,05","0,015","9,11","0,9","0,51","1,08",86,0,231
   50 g
 Cena,543,"20,15","11,072","41,98","9,66","7,14","44,07","1471,45",73,211
  Auchan Tortillas de Trigo Integrales,230,"5,84","1,68","33,6","6,96","1,36","7,36",1280,,
   80 g
  Pechuga de Pollo a la Plancha,139,"2,19","0,605",0,0,0,"27,99",186,73,
   125 g
  Pimiento Rojo,26,"0,3","0,059","6,03",2,"4,2","0,99",2,0,211
   100 g
  Tomates Cherry,11,"0,12","0,028","2,35","0,7","1,58","0,53",3,0,
   60 g
  De Nuestra Tierra Queso Idiazabal,137,"11,7","8,7",0,0,0,"7,2","0,45",,
   30 g
 Pasa Bocas / Otros,,,,,,,,,,

"miércoles, marzo 3, 2021",718,"6,18","1,338","120,41","10,5","24,71","44,06",595,73,148
 Desayuno,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)
 Almuerzo,255,"2,35","0,649","26,3","2,7","1,47","31,1",294,73,
  Pechuga de Pollo a la Plancha,139,"2,19","0,605",0,0,0,"27,99",186,73,
   125 g
  Patata Asada,116,"0,16","0,044","26,3","2,7","1,47","3,11",108,0,
   125 g
 Cena,391,"3,6","0,65","75,05","4,5","8,9","12,6",300,,
  DIA Macarrones ,355,"1,8","0,4",71,"3,6",5,12,,,
   100 g
  Orlando Tomate Frito con Aceite de Oliva Virgen Extra,36,"1,8","0,25","4,05","0,9","3,9","0,6",300,,
   50 g
 Pasa Bocas / Otros,,,,,,,,,,

"jueves, marzo 4, 2021",2910,"108,94","39,605","365,8","11,88","88,87","133,74",1553,116,1363
 Desayuno,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
  Sandwich Mixto,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
   1 sánduche
 Almuerzo,334,"9,03","1,922","26,74","1,9","2,11","34,87",428,68,1119
  Salmón,219,"8,9","1,89",0,0,0,"32,43",69,68,634
   150 g
  Papa al Horno (sin Comer la Cáscara),115,"0,13","0,032","26,74","1,9","2,11","2,44",359,0,485
   125 g
 Cena,1476,"63,6","24,6",168,,33,"58,8",,,
  Telepizza Pizza Bacon Crispy,1476,"63,6","24,6",168,,33,"58,8",,,
   600 g
 Pasa Bocas / Otros,762,"21,28","5,403","137,29","8,48","49,69","23,89",237,0,244
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)
  Danone Yogur Azucarado,202,"4,75",3,"30,75",0,"30,75","7,5",0,,
   250 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Semillas Secas de Chía,24,"1,54","0,159","2,19","1,9",,"0,78",1,0,8
   5 g
  Nestlé Fitness Chocolate Negro,98,"1,72","0,98","17,55","1,98","4,08","2,2",235,,
   25 g
  Paulaner Hefe-Weissbier Naturtrüb,235,0,,65,,,10,,,
   500 ml

"viernes, marzo 5, 2021",1245,"42,06","20,289","113,61","13,37","43,5","101,14","10179,4",48,148
 Desayuno,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
  Sandwich Mixto,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
   1 sánduche
 Almuerzo,362,"14,78",6,"39,8",,"7,88",18,2840,,
  Telepizza Pizza Barbacoa (Mediana),362,"14,78",6,"39,8",,"7,88",18,2840,,
"   2 x 1 porción, 200 g"
 Cena,189,"2,35","0,58","8,2","5,4","6,2","31,5","6250,1",,
  La Sirena Gambas Peladas Pequeñas,125,"1,75","0,5",0,0,0,"27,5",6250,,
   250 g
"  Hacendado Coliflor, Brocoli y Zanahoria",64,"0,6","0,08","8,2","5,4","6,2",4,"0,1",,
   200 g
 Pasa Bocas / Otros,356,"9,9","6,029","31,84","6,47","25,35","35,46","201,3",0,148
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g
  Hacendado Leche Entera Calcio,134,"7,2","4,4","9,8",0,"9,8","7,8",200,,
   200 ml
  La Chocolatera Cacao Puro Desgrasado en Polvo,38,"1,6","1,02","1,63","3,17","0,07","2,55","0,3",,
   10 g

"sábado, marzo 6, 2021",387,"12,09","4,961","47,71","9,97","14,57","18,44","316,3",0,10
 Desayuno,387,"12,09","4,961","47,71","9,97","14,57","18,44","316,3",0,10
  Semillas Secas de Chía,29,"1,84","0,191","2,63","2,3",,"0,94",1,0,10
   6 g
  Central Lechera Asturiana Leche Semidesnatada sin Lactosa,135,"4,65",3,"13,95",,"13,95","9,45",300,,
   300 ml
  La Chocolatera Cacao Puro Desgrasado en Polvo,38,"1,6","1,02","1,63","3,17","0,07","2,55","0,3",,
   10 g
  Oatibix Avena Suave,185,4,"0,75","29,5","4,5","0,55","5,5",15,,
   50 g
 Almuerzo,,,,,,,,,,
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,,,,,,,,,,

"lunes, marzo 8, 2021",253,"2,6","0,641","32,92","7,3","14,72","26,8",237,58,360
 Desayuno,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)
 Almuerzo,181,"2,37","0,602","13,86",4,"0,38","26,44",236,58,212
  Pechuga de Pollo a la Plancha,111,"1,75","0,484",0,0,0,"22,39",149,58,
   100 g
  Hacendado Espinacas Congeladas en Porciones,6,"0,1","0,02","0,4",0,"0,38","0,72",40,,
   25 g
  Verduras Mezcladas (Congeladas),64,"0,52","0,098","13,46",4,,"3,33",47,0,212
   100 g
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,,,,,,,,,,

Total,8209,"269,59","101,059","954,92","125,68","217,76","470,88","16783,05",826,3409
