#-------------------------------------------
# Food Diary Report - Detailed Report,"lunes, noviembre 1, 2021","martes, noviembre 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1505,"61,72","160,59","82,06"
Desayuno,246,"13,96","20,22","12,58"
Almuerzo,594,"17,68","65,18","46,89"
Cena,208,"9,3","12,18","17,5"
Pasa Bocas / Otros,458,"20,77",63,"5,08"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)

"martes, noviembre 9, 2021",1776,"75,8","24,622","175,7","31,46","72,73","100,23","1823,72",586,290
 Desayuno,249,"14,51","1,508","19,16","3,06","7,38","12,33",310,0,97
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,71,"0,16","0,16","8,99",,"0,31","8,52",310,,
   155 g
  Hacendado Arándanos Enteros,34,0,0,"7,15","1,56","6,5","0,46",0,,
   65 g
  Nueces,144,"14,35","1,348","3,02","1,5","0,57","3,35",0,0,97
   22 g
 Almuerzo,594,"17,68","5,25","65,18","21,1","15,12","46,89","990,36",186,55
  Guiso de Lentejas,380,"9,83","1,818","56,09","19,9","6,43","21,38",868,0,
   1 plato
  Huevo Cocido,68,"4,65","1,432","0,49",0,"0,49","5,51",122,186,55
   1 mediano
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
 Cena,415,"18,61","7,864","24,36","4,4","9,83","35,01","211,36",400,138
  Huevo Revuelto,199,"15,21","5,784","1,96",0,"1,43","13,01",211,400,138
   2 huevos
  Wasa Original,76,"0,4","0,08","14,2","4,4","0,2",2,0,,
"   2 x 1 tostada, 22 g"
  Carrefour Postre Lácteo Proteína Plus Vainilla ,140,3,2,"8,2",,"8,2",20,"0,36",,
   200 g
 Pasa Bocas / Otros,518,25,10,67,"2,9","40,4",6,312,,
  Oreo Galletas Oreo,312,"13,2","3,6",45,"1,8","24,6","3,6",192,,
"   6 x 1 galleta , 66 g"
  Nestlé Crunch Snack,206,"11,8","6,4",22,"1,1","15,8","2,4",120,,
"   1 barrita, 37 g"

"miércoles, noviembre 10, 2021",1234,"47,63","8,861","145,48","28,47","38,62","63,89","1824,36",186,337
 Desayuno,243,"13,41","1,412","21,29","2,7","6,84","12,84",341,0,134
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,78,"0,17","0,17","9,86",,"0,34","9,35",340,,
   170 g
  Arándanos,34,"0,2","0,017","8,69","1,4","5,98","0,44",1,0,46
   60 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
 Almuerzo,594,"17,68","5,25","65,18","21,1","15,12","46,89","990,36",186,55
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
  Guiso de Lentejas,380,"9,83","1,818","56,09","19,9","6,43","21,38",868,0,
   1 plato
  Huevo Cocido,68,"4,65","1,432","0,49",0,"0,49","5,51",122,186,55
   1 mediano
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,397,"16,54","2,199","59,01","4,67","16,66","4,16",493,0,148
  Manzana,72,"0,23","0,039","19,06","3,3","14,34","0,36",1,0,148
   1 mediana (7 cm de diámetro) (aprox. 3 por 450 g)
  Cheetos Pandilla,144,"6,69","0,9","18,63","0,99","0,54","1,74",156,,
   30 g
  Lay's 3D’S Bugles ,181,"9,62","1,26","21,32","0,38","1,78","2,06",336,,
   35 g

Total,3010,"123,43","33,483","321,18","59,93","111,35","164,12","3648,08",772,627
