#-------------------------------------------
# Food Diary Report - Detailed Report,"viernes, octubre 1, 2021","domingo, octubre 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1419,"59,12","141,25","78,69"
Desayuno,267,"11,94","19,35","19,68"
Almuerzo,721,"30,56","76,92","34,45"
Cena,270,"11,18","27,25","14,18"
Pasa Bocas / Otros,161,"5,44","17,73","10,38"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)

"viernes, octubre 1, 2021",1745,"55,87","14,608","223,2","43,39","54,85",94,"2734,1",371,211
 Desayuno,112,"1,09","0,69","1,78","0,59","1,18","23,59","73,04",,
  Optimum Nutrition Gold Standard Whey,112,"1,09","0,69","1,78","0,59","1,18","23,59","73,04",,
   30 g
 Almuerzo,1633,"54,78","13,918","221,42","42,8","53,67","70,41","2661,06",371,211
  Guiso de Lentejas,760,"19,67","3,637","112,18","39,9","12,87","42,76",1735,0,
   2 platos
  Panrico Donuts Normal,199,"11,52",,"20,64",,,"2,88",,,
"   1 unidad, 48 g"
  DIA Natillas,140,"3,6","2,4","22,5",,21,"4,4","0,06",,
"   1 tarrina, 125 g"
  Milka Chocolate con Leche,132,"7,4","4,3","14,5","0,5","14,5","1,7",0,,
   100 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  Pan Blanco,266,"3,29","0,717","50,61","2,4","4,31","7,64",681,0,100
   100 g
 Cena,,,,,,,,,,
 Pasa Bocas / Otros,,,,,,,,,,

"sábado, octubre 2, 2021",1992,"103,24","42,528","177,25","13,46","59,14","89,14","2554,47","974,6",285
 Desayuno,282,"12,5","4,864","9,59","1,2","9,19","31,03","245,36",371,111
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
 Almuerzo,1121,"68,39","25,734","96,51","8,4","24,18","33,92","1226,07","555,6",174
  Huevo Frito,233,"17,63","4,905","1,12",0,1,"16,27",622,547,174
   3 medianos
  Patatas Fritas,545,"28,06","6,429","71,24","6,7","1,18","6,95",604,0,
   200 g
  Serrano Jamón Serrano,55,3,,"0,05",,,7,,,
   25 g
  Hacendado Bombón Almendrado,288,"19,7","14,4","24,1","1,7",22,"3,7","0,07","8,6",
"   1 porción, 85 g"
 Cena,251,"7,32","4,25","37,38","2,36","21,7","8,01","195,04",,
  Milbona Leche Fresca Pastoreo Entera,94,"5,4","3,45","6,9",,"6,9","4,65",195,,
"   1 1/2 x 100ml, 150 g"
  Chocapic Chocapic,157,"1,92","0,8","30,48","2,36","14,8","3,36","0,04",,
   40 g
 Pasa Bocas / Otros,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
  Sandwich Mixto,338,"15,03","7,68","33,77","1,5","4,07","16,18",888,48,
   1 sánduche

"domingo, octubre 3, 2021",1592,"79,39","42,176","158,68","9,75","78,56","57,22","2030,19","522,2",919
 Desayuno,322,"9,6","5,6","47,3","2,95","27,7","10,4","260,05",,
  Milbona Leche Fresca Pastoreo Entera,126,"7,2","4,6","9,2",,"9,2","6,2",260,,
"   2 x 100ml, 200 g"
  Chocapic Chocapic,196,"2,4",1,"38,1","2,95","18,5","4,2","0,05",,
   50 g
 Almuerzo,667,"32,76","17,263","64,13","3,1","23,49","26,55","1450,07","66,6",382
  Paella,379,"13,06","2,863","40,03","1,4","1,49","22,85",1450,58,382
   1 porción (240 g)
  Hacendado Bombón Almendrado,288,"19,7","14,4","24,1","1,7",22,"3,7","0,07","8,6",
"   1 porción, 85 g"
 Cena,603,"37,03","19,313","47,25","3,7","27,37","20,27","320,07","455,6",537
  Tortilla de Patatas,315,"17,33","4,913","23,15",2,"5,37","16,57",320,447,537
   250 g
  Hacendado Bombón Almendrado,288,"19,7","14,4","24,1","1,7",22,"3,7","0,07","8,6",
"   1 porción, 85 g"
 Pasa Bocas / Otros,,,,,,,,,,

"lunes, octubre 4, 2021",1577,"60,06","18,283","135,14","30,68","27,77","111,35","1266,97",371,533
 Desayuno,322,"22,4","6,985","15,82","1,3","3,04","14,35",320,0,88
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,74,"0,16","0,16","9,28",,"0,32","8,8",320,,
   160 g
 Almuerzo,426,"14,58","4,004","36,09","16,89","2,88","28,76","444,27",371,111
  Luengo Garbanzos Cocidos,228,"4,56","0,96","28,8","11,04",0,"12,96","1,27",,
   240 g
  Bonduelle Guisantes Tiernos y Muy Finos,62,"0,72","0,18","6,3","5,85","1,89","4,77",198,,
   90 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
 Cena,462,"14,13","5,72","39,24","9,82","10,73","40,09","481,63",,
  Wasa Original,152,"0,8","0,16","28,4","8,8","0,4",4,0,,
"   4 x 1 tostada, 44 g"
  Primaflor Guacamole,58,"5,44","0,77","0,96","1,02","0,45","0,48",480,,
   32 g
  Eroski Queso para Untar Light,34,"2,73","1,85","0,69",0,"0,69","1,66","0,19",,
   21 g
  Palcarsa Lomo Embuchado,78,"2,16","0,94","0,99",,"0,99","13,95","1,08",,
   45 g
  Carrefour Postre Lácteo Proteína Plus Vainilla,140,3,2,"8,2",,"8,2",20,"0,36",,
   200 g
 Pasa Bocas / Otros,367,"8,95","1,574","43,99","2,67","11,12","28,15","21,07",0,334
  Optimum Nutrition 100% Whey Gold Standard,112,"0,87","0,57","1,35",0,"1,14","24,75",,,
   30 g
  Melón ,42,"0,24","0,064","10,2","1,1","9,82","1,05",20,0,334
   125 g
  Vicente Vidal Patatas Light,213,"7,84","0,94","32,44","1,57","0,16","2,35","1,07",,
   47 g

"martes, octubre 5, 2021",1621,"48,43","20,5","189,34","12,41","45,48","99,71","1342,82",371,511
 Desayuno,364,"12,38","3,356","36,54","8,6","20,89","24,01","774,36",0,400
  Carrefour Postre Lácteo al Cacao Proteína Plus,146,"3,2",2,"8,6","1,2","8,2",20,"0,36",,
   200 g
  Primaflor Guacamole,91,"8,5","1,2","1,5","1,6","0,7","0,75",750,,
   50 g
  Wasa Original,76,"0,4","0,08","14,2","4,4","0,2",2,0,,
"   2 x 1 tostada, 22 g"
  Melón,51,"0,28","0,076","12,24","1,4","11,79","1,26",24,0,400
   150 g
 Almuerzo,681,"16,25","5,444","85,9","3,81","16,79","44,8","564,56",371,111
  De Cecco Rigatoni,352,"1,5","0,3","70,2","2,9","3,4",13,0,,
   100 g
  Orlando Tomate Frito,53,"2,45","0,28","6,51","0,91","4,2","0,77","319,2",,
   70 g
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  Carrefour Postre Lácteo Proteína Plus Vainilla,140,3,2,"8,2",,"8,2",20,"0,36",,
   200 g
 Cena,576,"19,8","11,7","66,9",,"7,8","30,9","3,9",,
  Telepizza Hawaiana,576,"19,8","11,7","66,9",,"7,8","30,9","3,9",,
   300 g
 Pasa Bocas / Otros,,,,,,,,,,

"miércoles, octubre 6, 2021",1263,"63,63","18,121","96,57","11,8","50,87","79,39","853,36",371,1601
 Desayuno,322,"22,4","6,985","15,82","1,3","3,04","14,35",320,0,88
  Pastoret Yoghourt Desnatado Edulcorado con Stevia,74,"0,16","0,16","9,28",,"0,32","8,8",320,,
   160 g
  Nueces,131,"13,04","1,225","2,74","1,3","0,52","3,05",0,0,88
   20 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
