#-------------------------------------------
# Food Diary Report - Detailed Report,"miércoles, septiembre 1, 2021","jueves, septiembre 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1561,"75,91",139,"74,08"
Desayuno,313,"18,97","22,12","12,93"
Almuerzo,484,"23,17","42,52","26,65"
Cena,458,"21,24","43,5","22,28"
Pasa Bocas / Otros,306,"12,53","30,86","12,21"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)

"miércoles, septiembre 1, 2021",1200,"64,01","32,106","88,59","10,23","55,87","67,34","561,36",114,1648
 Desayuno,467,"41,15","18,788","13,38","1,5","9,33","11,13","0,16",0,97
  DIA Yogur Estilo Griego Natural,206,"17,6","11,84","6,56",,"6,56","5,28","0,16",,
   160 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  Nueces,144,"14,35","1,348","3,02","1,5","0,57","3,35",0,0,97
   22 g
 Almuerzo,306,"4,12","1,231","33,63","2,9","13,48","33,34",428,114,788
  Papa al Horno (sin Comer la Cáscara),92,"0,1","0,026","21,39","1,5","1,69","1,95",287,0,388
   100 g
  Solomillo de Ternera,163,"3,74","1,129",0,0,0,"30,13",117,114,
   150 g
  Melón,51,"0,28","0,076","12,24","1,4","11,79","1,26",24,0,400
   150 g
 Cena,227,"8,74","5,827","24,78","5,7","20,53","13,49","122,8",0,763
  Tomates,22,"0,25","0,058","4,9","1,5","3,29","1,1",6,0,296
   125 g
  Melón ,60,"0,33","0,089","14,28","1,6","13,76","1,47",28,0,467
   175 g
  Angulo Queso Fresco de Burgos Ligero,117,"7,84","5,6","2,8",,"2,64","8,8","0,8",,
   80 g
  Bonduelle Guisantes Tiernos y Muy Finos,28,"0,32","0,08","2,8","2,6","0,84","2,12",88,,
   40 g
 Pasa Bocas / Otros,200,10,"6,26","16,8","0,13","12,53","9,38","10,4",,
  Cola Cao Cola Cao 0%,36,"0,64","0,02","4,84","0,13","0,57","1,32",0,,
   11 g
  Central Lechera Asturiana Leche UHT Entera,164,"9,36","6,24","11,96",0,"11,96","8,06","10,4",,
   260 ml

"jueves, septiembre 2, 2021",2024,"114,36","39,221","168,77","10,58","37,42","78,93",2484,609,955
 Desayuno,467,"41,15","18,788","13,38","1,5","9,33","11,13","0,16",0,97
  Nueces,144,"14,35","1,348","3,02","1,5","0,57","3,35",0,0,97
   22 g
  Lindt Chocolate Negro 85%,117,"9,2","5,6","3,8",,"2,2","2,5",0,,
   20 g
  DIA Yogur Estilo Griego Natural,206,"17,6","11,84","6,56",,"6,56","5,28","0,16",,
   160 g
 Almuerzo,266,"19,58","3,89","8,67","3,15","5,41","15,29","251,04",371,469
  Huevo Cocido,136,"9,3","2,864","0,99",0,"0,99","11,03",245,371,111
   2 medianos
  Verdifresh Canónigos,10,"0,25","0,05","0,8","0,65","0,8","0,9","0,04",,
   50 g
  Tomates,22,"0,25","0,057","4,82","1,5","3,23","1,08",6,0,292
"   1 la mitad de (6,5 cm de diámetro)"
  Nueces,98,"9,78","0,919","2,06",1,"0,39","2,28",0,0,66
   15 g
 Cena,820,"30,47","5,947","101,25","4,6","5,36","34,11","1642,2",221,250
  Arroz Frito Pollo,332,"12,08","2,46","42,24","1,4","1,4","12,58",604,106,250
   200 g
  VICI Gyoza de Pollo,175,"4,2","0,7","21,8",0,"0,2","11,6","1,2",,
   100 g
  Rollito de Verduras Primavera,313,"14,19","2,787","37,21","3,2","3,76","9,93",1037,115,
   5 rollitos primavera
 Pasa Bocas / Otros,471,"23,16","10,596","45,47","1,33","17,32","18,4","590,6",17,139
